http://opendatacommunities.org/def/ontology/geography/refArea,Reference area,a. Index of Multiple Deprivation (IMD),b. Income Deprivation Domain,c. Employment Deprivation Domain,"d. Education, Skills and Training Domain",e. Health Deprivation and Disability Domain,f. Crime Domain,g. Barriers to Housing and Services Domain,h. Living Environment Deprivation Domain,i. Income Deprivation Affecting Children Index (IDACI),j. Income Deprivation Affecting Older People Index (IDAOPI)
http://opendatacommunities.org/id/geography/administration/ua/E06000022,Bath and North East Somerset,11.745,0.079,0.063,14.043,-0.668,-0.279,16.763,13.986,0.104,0.096
http://opendatacommunities.org/id/geography/administration/ua/E06000055,Bedford,18.932,0.114,0.09,19.05,-0.119,-0.116,24.837,19.761,0.151,0.115
http://opendatacommunities.org/id/geography/administration/ua/E06000008,Blackburn with Darwen,36.013,0.212,0.162,34.512,1.049,0.409,12.312,32.083,0.228,0.238
http://opendatacommunities.org/id/geography/administration/ua/E06000009,Blackpool,45.039,0.247,0.209,38.502,1.643,0.815,11.804,39.531,0.307,0.231
http://opendatacommunities.org/id/geography/administration/ua/E06000058,"Bournemouth, Christchurch and Poole",18.173,0.112,0.091,19.384,-0.039,-0.108,21.138,17.888,0.147,0.13
http://opendatacommunities.org/id/geography/administration/ua/E06000036,Bracknell Forest,10.241,0.068,0.053,17.048,-0.907,-0.856,25.882,4.595,0.089,0.099
http://opendatacommunities.org/id/geography/administration/ua/E06000043,Brighton and Hove,20.761,0.123,0.094,18.639,0.097,-0.066,23.287,24.849,0.153,0.187
http://opendatacommunities.org/id/geography/administration/ua/E06000023,"Bristol, City of",26.363,0.141,0.102,27.137,0.322,0.756,23.624,22.596,0.206,0.175
http://opendatacommunities.org/id/geography/administration/ua/E06000056,Central Bedfordshire,12.152,0.077,0.059,17.131,-0.712,-0.235,20.636,14.341,0.114,0.087
http://opendatacommunities.org/id/geography/administration/ua/E06000049,Cheshire East,14.475,0.083,0.075,14.428,-0.186,-0.382,19.367,17.689,0.107,0.086
http://opendatacommunities.org/id/geography/administration/ua/E06000050,Cheshire West and Chester,18.083,0.108,0.095,18.227,0.089,-0.284,16.288,18.849,0.145,0.113
http://opendatacommunities.org/id/geography/administration/ua/E06000052,Cornwall,23.072,0.13,0.108,19.031,0.054,-0.713,24.726,39.931,0.164,0.138
http://opendatacommunities.org/id/geography/administration/ua/E06000047,County Durham,26.793,0.165,0.143,24.986,0.71,0.26,14.094,5.681,0.222,0.17
http://opendatacommunities.org/id/geography/administration/ua/E06000005,Darlington,25.657,0.153,0.128,27.402,0.532,0.558,11.942,8.8,0.203,0.152
http://opendatacommunities.org/id/geography/administration/ua/E06000015,Derby,26.323,0.158,0.115,33.417,0.526,-0.105,19.864,21.078,0.211,0.168
http://opendatacommunities.org/id/geography/administration/ua/E06000059,Dorset,15.735,0.088,0.08,18.456,-0.346,-0.719,25.219,18.651,0.121,0.087
http://opendatacommunities.org/id/geography/administration/ua/E06000011,East Riding of Yorkshire,15.605,0.096,0.085,17.434,-0.39,-0.542,19.842,17.541,0.118,0.108
http://opendatacommunities.org/id/geography/administration/ua/E06000006,Halton,32.325,0.185,0.158,29.565,0.93,0.272,16.214,19.914,0.239,0.181
http://opendatacommunities.org/id/geography/administration/ua/E06000001,Hartlepool,35.037,0.228,0.185,30.255,0.869,0.566,14.242,6.943,0.283,0.228
http://opendatacommunities.org/id/geography/administration/ua/E06000019,"Herefordshire, County of",18.89,0.098,0.08,20.465,-0.312,-0.612,26.817,34.71,0.124,0.109
http://opendatacommunities.org/id/geography/administration/ua/E06000046,Isle of Wight,23.294,0.138,0.124,26.09,0.084,-0.2,18.731,28.693,0.18,0.132
http://opendatacommunities.org/id/geography/administration/ua/E06000053,Isles of Scilly,12.005,0.029,0.019,9.671,-2.625,-0.778,20.576,66.667,0.032,0.05
http://opendatacommunities.org/id/geography/administration/ua/E06000010,"Kingston upon Hull, City of",40.564,0.227,0.166,41.672,0.853,0.841,21.108,34.324,0.298,0.257
http://opendatacommunities.org/id/geography/administration/ua/E06000016,Leicester,30.877,0.196,0.119,37.277,0.594,0.484,16.433,25.981,0.242,0.298
http://opendatacommunities.org/id/geography/administration/ua/E06000032,Luton,25.908,0.155,0.1,27.432,0.294,0.392,30.233,22.093,0.196,0.198
http://opendatacommunities.org/id/geography/administration/ua/E06000035,Medway,23.936,0.134,0.105,28.026,0.075,0.555,19.252,25.313,0.189,0.133
http://opendatacommunities.org/id/geography/administration/ua/E06000002,Middlesbrough,40.46,0.251,0.191,38.85,1.194,0.701,14.183,12.929,0.327,0.233
http://opendatacommunities.org/id/geography/administration/ua/E06000042,Milton Keynes,17.98,0.111,0.078,19.205,-0.158,-0.137,30.625,10.265,0.15,0.131
http://opendatacommunities.org/id/geography/administration/ua/E06000012,North East Lincolnshire,31.335,0.19,0.145,35.861,0.38,0.484,13.386,26.35,0.274,0.17
http://opendatacommunities.org/id/geography/administration/ua/E06000013,North Lincolnshire,22.096,0.133,0.109,28.419,0.233,0.111,14.96,15.331,0.183,0.135
http://opendatacommunities.org/id/geography/administration/ua/E06000024,North Somerset,15.825,0.101,0.09,16.945,-0.263,-0.164,18.52,9.682,0.124,0.104
http://opendatacommunities.org/id/geography/administration/ua/E06000057,Northumberland,22.079,0.126,0.118,22.596,0.189,-0.139,21.846,10.01,0.174,0.115
http://opendatacommunities.org/id/geography/administration/ua/E06000018,Nottingham,34.891,0.199,0.136,37.51,0.861,0.438,23.586,29.791,0.298,0.238
http://opendatacommunities.org/id/geography/administration/ua/E06000031,Peterborough,27.821,0.156,0.112,34.571,0.413,0.523,26.749,17.397,0.208,0.169
http://opendatacommunities.org/id/geography/administration/ua/E06000026,Plymouth,26.619,0.148,0.128,25.623,0.666,-0.051,18.139,25.786,0.203,0.153
http://opendatacommunities.org/id/geography/administration/ua/E06000044,Portsmouth,26.899,0.134,0.09,27.706,0.27,0.652,21.275,43.313,0.202,0.171
http://opendatacommunities.org/id/geography/administration/ua/E06000038,Reading,19.619,0.114,0.074,20.993,-0.034,0.092,27.441,22.108,0.16,0.173
http://opendatacommunities.org/id/geography/administration/ua/E06000003,Redcar and Cleveland,29.792,0.186,0.165,27.768,0.79,0.138,14.139,7.793,0.256,0.168
http://opendatacommunities.org/id/geography/administration/ua/E06000017,Rutland,8.381,0.056,0.049,7.826,-1.048,-1.205,23.583,15.669,0.072,0.064
http://opendatacommunities.org/id/geography/administration/ua/E06000051,Shropshire,17.153,0.096,0.078,17.851,-0.348,-0.576,25.498,28.49,0.12,0.113
http://opendatacommunities.org/id/geography/administration/ua/E06000039,Slough,22.965,0.126,0.08,19.963,0.147,0.412,36.28,22.387,0.147,0.214
