,Area code,Area name,pop2018,pop2019,pop2020
0,E12000001,North East,2657909.0,2667129.9,2674567.5
1,E06000047,County Durham,526980.0,529678.1,531946.5
2,E06000005,Darlington,106566.0,106695.0,106827.9
3,E06000001,Hartlepool,93242.0,93366.0,93458.4
4,E06000002,Middlesbrough,140545.0,140531.1,140422.7
5,E06000057,Northumberland,320274.0,321606.5,322852.2
6,E06000003,Redcar and Cleveland,136718.0,137348.8,137879.2
7,E06000004,Stockton-on-Tees,197213.0,197772.5,198252.5
8,E11000007,Tyne and Wear (Met County),1136371.0,1140131.9,1142928.1
9,E08000037,Gateshead,202508.0,202731.8,202828.8
10,E08000021,Newcastle upon Tyne,300196.0,301748.5,302679.9
11,E08000022,North Tyneside,205985.0,207279.1,208485.6
12,E08000023,South Tyneside,150265.0,150849.3,151394.0
13,E08000024,Sunderland,277417.0,277523.3,277539.6
14,E12000002,North West,7292093.0,7329534.7,7363336.7
15,E06000008,Blackburn with Darwen,148942.0,149084.4,149189.7
16,E06000009,Blackpool,139305.0,139240.9,139172.9
17,E06000049,Cheshire East,380790.0,382838.5,384887.8
18,E06000050,Cheshire West and Chester,340502.0,343468.4,346191.7
19,E06000006,Halton,128432.0,128982.7,129522.5
20,E06000007,Warrington,209547.0,210109.2,210624.6
21,E10000006,Cumbria,498888.0,499430.0,499800.2
22,E07000026,Allerdale,97527.0,97768.2,97960.3
23,E07000027,Barrow-in-Furness,67137.0,66934.3,66720.4
24,E07000028,Carlisle,108387.0,108575.7,108682.2
25,E07000029,Copeland,68424.0,68180.3,67922.7
26,E07000030,Eden,52881.0,53016.6,53163.5
27,E07000031,South Lakeland,104532.0,104955.0,105351.2
28,E11000001,Greater Manchester (Met County),2812569.0,2829399.5,2844612.0
29,E08000001,Bolton,285372.0,286194.9,286952.1
30,E08000002,Bury,190108.0,191013.8,191841.3
31,E08000003,Manchester,547627.0,551160.7,553905.1
32,E08000004,Oldham,235623.0,237112.4,238525.4
33,E08000005,Rochdale,220001.0,221726.5,223372.2
34,E08000006,Salford,254408.0,257789.6,260803.5
35,E08000007,Stockport,291775.0,292905.9,294053.0
36,E08000008,Tameside,225197.0,226419.6,227556.0
37,E08000009,Trafford,236370.0,237568.3,238813.0
38,E08000010,Wigan,326088.0,327507.9,328790.2
39,E10000017,Lancashire,1210053.0,1216834.5,1222979.0
40,E07000117,Burnley,88527.0,88928.0,89277.5
41,E07000118,Chorley,116821.0,118224.3,119522.0
42,E07000119,Fylde,79770.0,80571.5,81342.8
43,E07000120,Hyndburn,80815.0,81063.7,81250.7
44,E07000121,Lancaster,144246.0,145294.6,146126.8
45,E07000122,Pendle,91405.0,91744.9,92040.5
46,E07000123,Preston,141818.0,142223.0,142619.7
47,E07000124,Ribble Valley,60057.0,60500.2,60953.8
48,E07000125,Rossendale,70895.0,71403.4,71886.7
49,E07000126,South Ribble,110527.0,110792.8,111051.1
50,E07000127,West Lancashire,113949.0,114253.4,114479.1
51,E07000128,Wyre,111223.0,111834.6,112428.3
52,E11000002,Merseyside (Met County),1423065.0,1430146.6,1436356.4
53,E08000011,Knowsley,149571.0,150332.8,151092.3
54,E08000012,Liverpool,494814.0,498949.7,502326.2
55,E08000014,Sefton,275396.0,276116.3,276782.3
56,E08000013,St. Helens,180049.0,180871.4,181622.3
57,E08000015,Wirral,323235.0,323876.4,324533.3
58,E12000003,Yorkshire and The Humber,5479615.0,5505362.4,5528102.8
59,E06000011,East Riding of Yorkshire,339614.0,340907.5,342195.0
60,E06000010,"Kingston upon Hull, City of",260645.0,261061.8,261183.6
61,E06000012,North East Lincolnshire,159821.0,159930.8,159996.2
62,E06000013,North Lincolnshire,172005.0,172606.8,173143.2
63,E06000014,York,209893.0,210699.3,211099.3
64,E10000023,North Yorkshire,614505.0,616586.7,618904.4
65,E07000163,Craven,56832.0,56996.4,57173.2
66,E07000164,Hambleton,91134.0,91288.1,91480.4
67,E07000165,Harrogate,160533.0,160492.1,160644.0
68,E07000166,Richmondshire,53244.0,53220.0,53189.2
69,E07000167,Ryedale,54920.0,55376.1,55846.3
70,E07000168,Scarborough,108736.0,109076.0,109422.1
71,E07000169,Selby,89106.0,90138.0,91149.2
72,E11000003,South Yorkshire (Met County),1402918.0,1411671.6,1419394.6
73,E08000016,Barnsley,245199.0,246999.1,248707.4
74,E08000017,Doncaster,310542.0,312211.9,313762.1
75,E08000018,Rotherham,264671.0,265970.8,267215.2
76,E08000019,Sheffield,582506.0,586489.9,589710.1
77,E11000006,West Yorkshire (Met County),2320214.0,2331898.0,2342186.4
78,E08000032,Bradford,537173.0,539152.9,540908.8
79,E08000033,Calderdale,210082.0,210514.2,210958.3
80,E08000034,Kirklees,438727.0,440338.5,441771.7
81,E08000035,Leeds,789194.0,792799.3,795564.6
82,E08000036,Wakefield,345038.0,349093.1,352983.0
83,E12000004,East Midlands,4804149.0,4844624.6,4882232.1
84,E06000015,Derby,257174.0,258026.9,258710.2
85,E06000016,Leicester,355218.0,358240.5,360557.2
86,E06000018,Nottingham,331069.0,332751.1,333962.5
87,E06000017,Rutland,39697.0,40012.8,40386.5
88,E10000007,Derbyshire,796142.0,801265.2,806252.9
89,E07000032,Amber Valley,126678.0,127623.6,128575.3
90,E07000033,Bolsover,79530.0,80247.7,80937.6
91,E07000034,Chesterfield,104628.0,104836.6,105012.2
92,E07000035,Derbyshire Dales,71977.0,72131.0,72331.5
93,E07000036,Erewash,115490.0,115865.8,116230.1
94,E07000037,High Peak,92221.0,92586.2,92931.5
95,E07000038,North East Derbyshire,101125.0,101625.8,102071.0
96,E07000039,South Derbyshire,104493.0,106348.4,108163.7
97,E10000018,Leicestershire,698268.0,706925.9,715117.1
98,E07000129,Blaby,100421.0,102094.7,103702.6
99,E07000130,Charnwood,182643.0,185217.0,187556.3
100,E07000131,Harborough,92499.0,93564.8,94634.7
101,E07000132,Hinckley and Bosworth,112423.0,113731.4,115022.9
102,E07000133,Melton,51100.0,51185.6,51281.4
103,E07000134,North West Leicestershire,102126.0,103902.8,105669.1
104,E07000135,Oadby and Wigston,57056.0,57229.7,57250.0
105,E10000019,Lincolnshire,755833.0,761708.6,767332.0
106,E07000136,Boston,69366.0,70319.9,71201.8
107,E07000137,East Lindsey,140741.0,141927.8,143101.5
108,E07000138,Lincoln,99039.0,99351.8,99548.3
109,E07000139,North Kesteven,115985.0,117182.8,118349.4
110,E07000140,South Holland,93980.0,94965.2,95886.0
111,E07000141,South Kesteven,141853.0,142562.3,143346.6
112,E07000142,West Lindsey,94869.0,95398.9,95898.3
113,E10000021,Northamptonshire,747622.0,755505.7,763001.3
114,E07000150,Corby,70827.0,72092.7,73306.7
115,E07000151,Daventry,84484.0,86000.5,87464.4
116,E07000152,East Northamptonshire,93906.0,95109.6,96250.9
117,E07000153,Kettering,101266.0,102477.6,103649.4
118,E07000154,Northampton,225146.0,225984.8,226702.3
119,E07000155,South Northamptonshire,92515.0,93724.0,94906.9
120,E07000156,Wellingborough,79478.0,80116.4,80720.8
121,E10000024,Nottinghamshire,823126.0,830187.9,836912.5
122,E07000170,Ashfield,127151.0,128524.2,129825.3
123,E07000171,Bassetlaw,116839.0,117732.4,118633.5
124,E07000172,Broxtowe,113272.0,114214.7,115012.0
125,E07000173,Gedling,117786.0,118545.8,119267.1
126,E07000174,Mansfield,108841.0,109575.1,110246.5
127,E07000175,Newark and Sherwood,121566.0,122578.0,123532.0
128,E07000176,Rushcliffe,117671.0,119017.6,120396.1
129,E12000005,West Midlands,5900757.0,5945140.3,5985915.8
130,E06000019,"Herefordshire, County of",192107.0,193692.0,195188.6
131,E06000051,Shropshire,320274.0,323513.9,326691.8
132,E06000021,Stoke-on-Trent,255833.0,256959.7,257871.1
133,E06000020,Telford and Wrekin,177799.0,179848.1,181769.4
134,E10000028,Staffordshire,875219.0,879465.2,883511.1
135,E07000192,Cannock Chase,100109.0,100872.0,101594.0
136,E07000193,East Staffordshire,118574.0,119416.5,120211.7
137,E07000194,Lichfield,103965.0,104414.8,104857.6
138,E07000195,Newcastle-under-Lyme,129490.0,130194.1,130791.7
139,E07000196,South Staffordshire,112126.0,112435.4,112756.6
140,E07000197,Stafford,135880.0,137003.5,138122.3
141,E07000198,Staffordshire Moorlands,98397.0,98565.5,98722.9
142,E07000199,Tamworth,76678.0,76563.3,76454.4
143,E10000031,Warwickshire,571010.0,576322.9,581623.5
144,E07000218,North Warwickshire,64850.0,65665.7,66439.7
145,E07000219,Nuneaton and Bedworth,128902.0,129662.2,130405.9
146,E07000220,Rugby,107194.0,108200.5,109180.8
147,E07000221,Stratford-on-Avon,127580.0,129581.3,131535.6
148,E07000222,Warwick,142484.0,143213.3,144061.6
149,E11000005,West Midlands (Met County),2916458.0,2938653.1,2958157.6
150,E08000025,Birmingham,1141374.0,1147619.9,1152784.8
151,E08000026,Coventry,366785.0,373389.1,378965.9
152,E08000027,Dudley,320626.0,322228.7,323692.1
153,E08000028,Sandwell,327378.0,329626.6,331716.7
154,E08000029,Solihull,214909.0,216297.1,217712.5
155,E08000030,Walsall,283378.0,285494.3,287476.2
156,E08000031,Wolverhampton,262008.0,263997.4,265809.4
157,E10000034,Worcestershire,592057.0,596685.3,601102.7
158,E07000234,Bromsgrove,98662.0,99599.1,100511.5
159,E07000235,Malvern Hills,78113.0,78893.0,79657.4
160,E07000236,Redditch,84989.0,85062.6,85118.3
161,E07000237,Worcester,101891.0,102066.3,102160.1
162,E07000238,Wychavon,127340.0,129398.8,131411.6
163,E07000239,Wyre Forest,101062.0,101665.5,102243.9
164,E12000006,East,6201214.0,6240416.6,6277256.6
